uuid,fips,urbanicity,name,type,juvenile_type,operator,capacity,private_name,ice_active,num_facilities,twp,facility_name,address,city,zip,lat,lon,facility_name_2,address_2,city_2,zip_2,lat_2,lon_2,facility_name_3,address_3,city_3,zip_3,lat_3,lon_3,coj_adultm,coj_adultf,coj_juvm, coj_juvf,coj_totgender,adltjuv,state_doc,state_doc_twp,state_doc_total,out_of_state,federal,ice,pretrial,parish_hold,total_pop,map_jails,map_twp,map_private,map_prison,map_juvenile,est_doc_rev,GT_1000_beds_99,GT_1000_beds_19
71,22039,rural,Evangeline Parish,Jail,,Sheriff,68,,0,1,0,Evangeline Parish Jail,200 Court Street,Ville Platte,70586,30.6884342,-92.2792816,,,,,,,,,,,,,68,0,0,0,68,0,16,0,16,0,0,0,3,41,60,1,0,0,0,0,154117.6,0,0
72,22039,rural,Evangeline Parish,Jail,,City,6,,0,1,0,Mamou City Jail,501 Main Street,Mamou,70554,30.6303687,-92.4204853,,,,,,,,,,,,,4,0,0,0,4,0,7,0,7,0,0,0,0,0,7,1,0,0,0,0,67426.45,0,0
73,22039,rural,Evangeline Parish,Jail,,City,18,,0,1,0,Ville Platte City Jail,114 Armand Street,Ville Platte,70586,30.6870729,-92.2737342,,,,,,,,,,,,,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,1,0,0,0,0,67426.45,0,0
74,22039,rural,Evangeline Parish,Jail,,City,6,,0,1,0,Basile City Jail,1316 South Ryan Avenue,Basile,70515,30.4848493,-92.5923029,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,22039,rural,Evangeline Parish,Jail,,Private,1094,GEO Group,1,1,0,Pine Prairie ICE Processing Center,1133 Hampton Dupre Road,Pine Prairie,70576,30.7886352,-92.4228399,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,0,0
76,22039,rural,Evangeline Parish,Jail,,Private,1000,GEO Group,1,1,0,South Louisiana ICE Processing Center,3843 Stagg Avenue,Basille,70515,30.4870342,-92.5818434,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,0,0
77,22041,rural,Franklin Parish,Jail,,Sheriff,834,,0,1,1,Franklin Parish Detention Center,388 Natures Acres Road,Winnsboro,71295,32.1862598,-91.6473799,,,,,,,,,,,,,,,,,,,680,34,714,0,0,0,102,2,818,1,1,0,0,0,6702020.5,0,0
78,22043,small/mid,Grant Parish,Jail,,Sheriff,106,,0,1,0,Grant Parish Detention Facility,485 Richardson Drive,Colfax,71417,31.5200308,-92.6966006,,,,,,,,,,,,,99,3,0,0,102,0,38,0,38,0,0,0,41,0,79,1,0,0,0,0,366029.3,0,0
79,22043,small/mid,Grant Parish,Prison,,Federal,1290,,0,1,0,USP Pollock,1000 Airbase Road,Pollock,71467,31.46532822,-92.43227443,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
80,22043,small/mid,Grant Parish,Prison,,Federal,270,,0,1,0,Pollock Camp,1000 Airbase Road,Pollock,71467,31.46532822,-92.43227443,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
81,22043,small/mid,Grant Parish,Prison,,Federal,1640,,0,1,0,FCI Pollock,1000 Airbase Road,Pollock,71467,31.46532822,-92.43227443,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
82,22045,small/mid,Iberia Parish,Jail,,Sheriff,512,,0,1,0,Iberia Parish Criminal Justice Facility,3618 Broken Arrow Road,New Iberia,70560,30.0147503,-91.8910922,,,,,,,,,,,,,398,40,5,0,443,5,124,0,124,0,35,0,194,8,361,1,0,0,0,0,1194411.4,0,0
83,22045,small/mid,Iberia Parish,TWP Facility,,Private,163,"Louisiana Workforce, LLC",0,1,1,Iberia Transitional Work Program,3701 Broken Arrow Road,New Iberia,70560,30.0211542,-91.8925627,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,0,0
84,22047,small/mid,Iberville Parish,Jail,,Sheriff,123,,0,1,0,Iberville Parish Jail,59605 Bayou Road,Plaquemine,70765,30.2713046,-91.2584936,,,,,,,,,,,,,112,4,0,0,116,0,10,0,10,0,0,0,99,0,109,1,0,0,0,0,96323.5,0,0
85,22047,small/mid,Iberville Parish,Prison,,State,1875,,0,1,0,Elayn Hunt Correctional Center,6925 Highway 74,St. Gabriel,70776,30.2593839,-91.0824733,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
86,22047,small/mid,Iberville Parish,Prison,,State,1100,,0,1,0,Louisiana Correctional Institute for Women,7205 Highway 74,St. Gabriel,70776,30.2602581,-91.0724417,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
87,22047,small/mid,Iberville Parish,Jail,,City,61,,0,1,0,Plaquemines City Jail,23540 Railroad Avenue,Plaquemine,70764,30.2887752,-91.2359076,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
88,22049,rural,Jackson Parish,Jail,,Private,"1,252",LaSalle,1,1,0,Jackson Parish Correctional Center,327 Industrial Drive,Jonesboro,71251,32.2152444,-92.715942,,,,,,,,,,,,,930,131,0,0,1061,0,0,0,0,0,0,0,58,0,0,0,0,1,0,0,0,0,1
89,22053,rural,Jefferson Davis Parish,Jail,,Sheriff,200,,0,1,0,Jefferson Davis Correctional Center,1704 Hwy. 90 West,Jennings,70546,30.2003178,-92.63059721,,,,,,,,,,,,,53,4,3,0,60,3,3,0,3,0,0,0,87,0,90,1,0,0,0,0,28897.05,0,0
90,22053,rural,Jefferson Davis Parish,Jail,,City,8,,0,1,0,Welsh City Jail,201 W South Street,Welsh,70591,30.2362706,-92.8231629,,,,,,,,,,,,,8,0,0,0,8,0,,,,,,,,,,1,0,0,0,0,,0,0
91,22053,rural,Jefferson Davis Parish,Holding Cell,,City,40,,0,1,0,Jennings City Jail,110 N Broadway,Jennings,70546,30.2213059,-92.6570106,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
92,22051,suburban,Jefferson Parish,Jail,,Sheriff,1085,,0,1,0,Jefferson Parish Correctional Center,100 Dolhonde Street,Gretna,70054,29.9153966,-90.0683264,,,,,,,,,,,,,936,133,12,0,1081,12,76,0,76,0,0,31,994,7,1108,1,0,0,0,0,732058.6,0,1
93,22051,suburban,Jefferson Parish,Jail,,City,64,,0,1,0,Kenner City Jail,500 Veterans Boulevard,Kenner,70062,30.0057738,-90.2639839,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,1
94,22051,suburban,Jefferson Parish,Jail,,City,56,,0,1,0,Westwego City Jail,401 4th Street,Westwego,70094,29.9086722,-90.1427523,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,1
95,22051,rural,Jefferson Parish,Juvenile,Detention,Parish,52,,0,1,0,Rivarde Juvenile Detention Facility,1550 Gretna Boulevard,Harvey,70058,29.89163563,-90.0570615,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
96,22051,rural,Jefferson Parish,Juvenile,Secure,State,84,,0,1,0,Bridge City Center for Youth,3225 River Road,Bridge,70094,29.93723633,-90.16999153,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
97,22051,rural,Jefferson Parish,Juvenile,Non-Secure Residential Family Home,Private,,,0,1,0,Boy's Town - Gretna Behrman Treatment Family Home,1008 Behrman Highway,Gretna,70056,29.88637865,-90.02056794,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
98,22055,small/mid,Lafayette Parish,Jail,,Sheriff,500,,0,1,0,Lafayette Parish Correctional Center and Annex,916 Lafayette Street,Lafayette,70501,30.2235872,-92.0214266,,,,,,,,,,,,,906,98,5,0,1009,5,156,0,156,3,22,0,489,20,690,1,0,0,0,0,1502646.6,0,1
99,22055,small/mid,Lafayette Parish,Jail,,City,51,,0,1,0,Scott City Jail,116 Lions Club Road,Scott,70583,30.2406157,-92.0994305,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,1
100,22055,small/mid,Lafayette Parish,Jail,,City,83,,0,1,0,Youngsville City Jail,600 Young Street,Youngsville,70592,30.1001408,-91.9830682,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,1
101,22055,small/mid,Lafayette Parish,Juvenile,Detention,Parish,,,0,1,0,Lafayette Juvenile Detention Home,1613 Surrey Street,Lafayette,70508,30.21570324,-91.99151279,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
102,22057,small/mid,Lafourche Parish,Jail,,Sheriff,6,,0,1,0,South Lafourche Sub Station,102 West 91 Street,Cuttoff,70345,29.5016178,-90.32973,,,,,,,,,,,,,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,22057,small/mid,Lafourche Parish,Jail,,Sheriff,533,,0,1,0,Lafourche Parish Correctional Complex,2594 Veterans Blvd.,Thibodaux,70301,29.76805668,-90.84746606,,,,,,,,,,,,,63,0,0,0,63,0,148,79,227,0,0,0,331,0,558,1,0,0,0,0,1778816.55,0,0
104,22057,small/mid,Lafourche Parish,Jail,,City,31,,0,1,0,Lockport City Jail,710 Church Street,Lockport,70374,29.6409338,-90.5426965,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
105,22057,small/mid,Lafourche Parish,Jail,,City,60,,0,1,0,Thibodeaux City Jail,1309 Canal Boulevard,Thibodaux,70301,29.7840857,-90.8204354,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
106,22057,small/mid,Lafourche Parish,Juvenile,Detention,Parish,53,,0,1,0,Lafourche Parish Juvenile Justice Facility,2525 Veterans Boulevard,Thibodaux,70301,29.7744345,-90.84452876,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,0
107,22059,rural,LaSalle Parish,Jail,,Sheriff,29,,0,1,0,La Salle Parish Jail,1050 Courthouse Street,Jena,71342,31.6855403,-92.1323567,,,,,,,,,,,,,13,0,0,0,13,0,2,0,2,0,0,0,8,0,10,1,0,0,0,0,19264.7,0,0
108,22059,rural,LaSalle Parish,Jail,,Private,755,LaSalle,1,1,1,La Salle Correctional Center,15976 Highway 165,Olla,71465,31.8446231,-92.2904605,,,,,,,,,,,,,750,0,0,0,750,0,213,0,213,0,0,0,305,4,522,0,1,1,0,0,2051690.55,0,0
109,22059,rural,LaSalle Parish,Jail,,Private,1160,GEO Group,1,1,0,LaSalle ICE Processing Center,"830 Pinehill Road, PO Box 2826",Jena,71342,31.70835874,-92.15161941,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,0,0
110,22061,rural,Lincoln Parish,Jail,,Sheriff,241,,0,1,1,Lincoln Parish Detention Center,170 Road Camp Road,Ruston,71273,32.5604113,-92.6093919,,,,,,,,,,,,,223,26,0,0,249,0,90,16,106,0,0,0,205,6,317,1,1,0,0,0,938451.5,0,0
111,22061,rural,Lincoln Parish,Jail,,City,107,,0,1,0,Ruston City Jail,401 North Trenton Street,Ruston,71270,32.5320379,-92.6399399,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
112,22063,small/mid,Livingston Parish,Jail,,Sheriff,617,,0,1,0,Livingston Parish Prison,28445 Charlie Watts Road,Livingston,70754,30.4794957,-90.7540236,,,,,,,,,,,,,470,106,3,0,579,3,149,0,149,3,0,6,402,17,577,1,0,0,0,0,1435220.15,0,0
113,22063,small/mid,Livingston Parish,TWP Facility,,Private,150,"Louisiana Workforce, LLC",0,1,1,Livingston Parish Transitional Work Program,28445 Charlie Watts Road,Livingston,70754,30.4794957,-90.7540236,,,,,,,,,,,,,,,,,,,15,53,68,0,0,0,0,0,68,0,1,0,0,0,381461.5,0,0
114,22063,small/mid,Livingston Parish,Jail,,City,67,,0,1,0,Springfield City Jail,27378 Louisiana 42,Springfield,70462,30.4291882,-90.549586,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
115,22063,small/mid,Livingston Parish,Jail,,City,68,,0,1,0,Walker City Jail,13179 Burgess Avenue,Walker,70785,30.489566,-90.867925,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
116,22065,rural,Madison Parish,Jail,,Sheriff,36,,0,1,0,Madison Parish Jail,404 East Green Street,Tallulah,71282,32.4090841,-91.1871694,,,,,,,,,,,,,20,0,0,0,20,0,1,0,1,0,0,0,22,0,23,1,0,0,0,0,9632.35,0,1
117,22065,rural,Madison Parish,Jail,,Private,898,"Security Management, LLC",0,2,1,Madison Parish Correctional Center,158 Treatment Plant Road,Tallulah,71282,32.3932537,-91.2048858,Madison Parish Southern Correctional Facility,158 Treatment Plant Road,Tallulah,71282,32.3932537,-91.2048858,,,,,,,1136,0,0,0,1136,0,591,0,591,0,0,0,258,1,850,0,1,1,0,0,5692718.85,0,1
118,22065,rural,Madison Parish,TWP Facility,,Private,548,"Security Management, LLC",0,1,0,LA Transitional Center for Women,1005 W. Green Street,Tallulah,71282,32.4148062,-91.2043227,,,,,,,,,,,,,,,,,,,358,0,358,0,0,0,116,0,474,0,0,0,0,0,3448381.3,0,1
119,22065,rural,Madison Parish,Jail,,Private,289,Bayou Correctional Management Company,0,1,0,Bayou Correctional Center,196 Old Hwy 165 South,Tallulah,71282,32.4084765,-91.1867771,,,,,,,,,,,,,,,,,,,222,0,222,0,0,0,47,0,269,0,0,1,0,0,2138381.7,0,1
120,22065,rural,Madison Parish,Juvenile,Non-Secure Residential Group Home,Private,82,,0,1,0,"Christian Acres Youth Center, Inc.",200 Bailey Street,Tallulah,71282,32.40983855,-91.172787,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
121,22067,rural,Morehouse Parish,Jail,,Sheriff,272,,0,2,1,Morehouse Parish Detention Center,6444 Patey Road,Collinston,71229,32.6828082,-91.8491801,Morehouse Parish Transitional Work Program,6444 Patey Road,Collinston,71229,32.6828082,-91.8491801,,,,,,,41,2,0,0,43,0,128,67,195,0,0,0,5.4,6,201,1,1,0,0,0,1532514.55,0,0
122,22067,rural,Morehouse Parish,Jail,,Sheriff,270,,0,2,0,Morehouse Parish Jail Annex,4729 Eugene Ware Road,Bastrop,71220,32.78161644,-91.93917257,Morehouse Parish Jail,250 East Walnut,Bastrop,71220,32.77516516,-91.91210437,,,,,,,168,20,1,0,189,1,72,0,72,0,0,0,97.2,108,180,1,0,0,0,0,693529.2,0,0
123,22069,rural,Natchitoches Parish,Jail,,Sheriff,559,,1,1,0,Natchitoches Parish Detention Center,299 Edwina Drive,Natchitoches,71457,31.7311213,-93.0996434,,,,,,,,,,,,,419,5,0,0,424,0,98,0,98,0,31,0,103,9,241,1,0,0,0,0,943970.3,0,0
124,22069,rural,Natchitoches Parish,Jail,,City,72,,0,1,0,Natchitoches City Jail,700 Amulet Street,Natchitoches,71457,31.7583318,-93.0947193,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
125,22071,urban,Orleans Parish,Jail,,Sheriff,1250,,0,1,0,Orleans Justice Center,2800 Perdido Street,New Orleans,70119,29.9601073,-90.0949754,,,,,,,,,,,,,1004,94,16,0,1114,16,122,0,122,0,2,0,715,1,840,1,0,0,0,0,1175146.7,1,1
126,22071,urban,Orleans Parish,Jail,,Sheriff,271,,0,1,1,Temporary Detention Center,3200 Perdido Street,New Orleans,70119,29.96240295,-90.09835501,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,0,0,20,1,1,0,0,0,89425,1,1
127,22071,urban,Orleans Parish,Jail,,Federal,,,1,1,0,New Orleans DD&P,701 Loyola Avenue Room 9001,New Orleans,70113,29.94856099,-90.0770492,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,1
128,22071,urban,Orleans Parish,Juvenile,Detention,Parish,,,0,1,0,New Orleans Juvenile Justice Intervention Center,1100-A Milton Street,New Orleans,70122,29.99443252,-90.083292,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
129,22071,urban,Orleans Parish,Juvenile,Non-Secure Residential Family Home,Private,6,,0,1,0,Boy's Town - Bienville,3308 Bienville Street,New Orleans,70119,29.97117236,-90.09185687,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
130,22071,urban,Orleans Parish,Juvenile,Non-Secure Residential Family Home,Private,6,,0,1,0,Boy's Town - City Park,313 City Park Avenue,New Orleans,70119,29.98336535,-90.10831838,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
131,22071,urban,Orleans Parish,Juvenile,Non-Secure Residential Family Home,Private,6,,0,1,0,Boy's Town - Magazine,6020 Magazine Street,New Orleans,70118,29.92234597,-90.12218984,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,1,1
132,22073,small/mid,Ouachita Parish,TWP Facility,,Sheriff,80,,0,1,1,Ouachita Parish Transitional Work Program (Males),4801 US-165,Monroe,71202,32.45452542,-92.0791346,,,,,,,,,,,,,165,0,0,0,165,0,16,66,82,0,0,0,0,0,82,0,1,0,0,0,449220.1,0,1
133,22073,small/mid,Ouachita Parish,Jail,,Sheriff,"1,072",,0,1,0,Ouachita Correctional Center,4801 Highway 165 Bypass South,Monroe,71202,32.454281,-92.079435,,,,,,,,,,,,,946,168,15,0,1129,15,287,0,287,0,40,0,565,28,920,1,0,0,0,0,2764484.45,0,1
134,22073,small/mid,Ouachita Parish,TWP Facility,,Sheriff,80,,0,1,1,Ouachita Parish Female TWP,4801 Highway 165 By-Pass South,Monroe,71202,32.454281,-92.079435,,,,,,,,,,,,,,,,,,,6,33,39,0,0,0,0,0,39,0,1,0,0,0,205345.35,0,1
135,22073,small/mid,Ouachita Parish,TWP Facility,,Private,144,City of Faith Prison Ministries,0,1,1,"City of Faith, Monroe",1511 Jackson Street,Monroe,71202,32.4906428,-92.1102209,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,0,1
136,22073,small/mid,Ouachita Parish,Jail,,Private,1129,LaSalle,1,1,1,Richwood Correctional Center,180 Pine Bayou Circle,Monroe,71202,32.4569764,-92.0799455,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,,0,1
137,22073,small/mid,Ouachita Parish,Jail,,City,29,,0,1,0,Monroe City Jail,700 Wood Street,Monroe,71201,32.5010743,-92.1101863,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,1
138,22073,small/mid,Ouachita Parish,Jail,,City,56,,0,1,0,West Monroe City Jail,2301 North 7th Street,West Monroe,71291,32.5202434,-92.1485543,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,1
139,22073,small/mid,Ouachita Parish,Juvenile,Detention,Parish,60,,0,1,0,Green Oaks Juvenile Detention Center,4820 South Grand Street,Monroe,71202,32.45045019,-92.10936451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
140,22073,small/mid,Ouachita Parish,Juvenile,Secure,State,144,,0,1,0,Swanson Center for Youth at Monroe,4701 South Grand Street,Monroe,71202,32.45391517,-92.112617,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
141,22073,small/mid,Ouachita Parish,Juvenile,Non-Secure Residential Group Home,Private,30,,0,1,0,Johnny Robinson's Boys Home,3209 South Grand Street,Monroe,71202,32.46948994,-92.1144189,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,0,1
142,22075,suburban,Plaquemines Parish,Jail,,Sheriff,871,,0,1,0,Plaquemines Parish Detention Center,16801 Hwy 15,Davant,70046,29.59851727,-89.82381105,,,,,,,,,,,,,,,,,,,291,0,291,0,198,0,49.5,46,535,1,0,0,0,0,2803013.85,0,0
143,22077,small/mid,Pointe Coupee Parish,Jail,,Sheriff,209,,0,1,0,Pointe Coupee Parish Detention Center,10933 Cajun II Road,New Roads,70760,30.7469141,-91.3836556,,,,,,,,,,,,,125,5,0,0,130,0,23,0,23,0,0,0,41.4,55,78,1,0,0,0,0,221544.05,0,0
144,22079,small/mid,Rapides Parish,Jail,,Sheriff,348,,0,1,0,Rapides Parish Detention Center I,700 Murray Street,Alexandria,71309,31.3091339,-92.4474653,,,,,,,,,,,,,218,64,9,0,291,9,4,0,4,5,0,0,281,21,311,1,0,0,0,0,38529.4,0,1
