code,year,name,total_jail_pretrial,total_pop,jail_pretrial_rate,us_comparison_pretrial,us_comparison_prison_adm,la_comparison_pretrial,la_comparison_prison_adm,prison_adm_count,prison_adm_rate,over_1000,buildingmap1,buildingmap2
22001,2021,Acadia Parish,0,62045,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,170,27.39946813,0,0,0
22003,2021,Allen Parish,0,25627,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,92,35.8996371,2,0,0
22005,2021,Ascension Parish,277,126604,21.87924552,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,183,14.4545196,0,0,0
22007,2021,Assumption Parish,84,21891,38.37193367,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,93,42.48321228,0,0,0
22009,2021,Avoyelles Parish,239,40144,59.53567158,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,143,35.62176166,2,0,0
22011,2021,Beauregard Parish,0,37497,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,163,43.47014428,0,0,0
22013,2021,Bienville Parish,14,13241,10.57321955,Less than the national average,Less than the national average,Less than the state average,Less than the state average,60,45.31379805,0,0,0
22015,2021,Bossier Parish,452,127039,35.57962515,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,512,40.30258425,0,0,0
22017,2021,Caddo Parish,1063,240204,44.25405072,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,1106,46.04419577,2,0,0
22019,2021,Calcasieu Parish,127,203436,6.242749563,Less than the national average,Less than the national average,Less than the state average,Less than the state average,620,30.47641519,0,0,0
22021,2021,Caldwell Parish,0,9918,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,74,74.6118169,0,0,0
22023,2021,Cameron Parish,27,6973,38.72078015,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,9,12.90692672,0,0,0
22025,2021,Catahoula Parish,545,9494,574.0467664,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,74,77.94396461,0,0,0
22027,2021,Claiborne Parish,164,15670,104.6585833,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,64,40.84237396,2,0,0
22029,2021,Concordia Parish,168,19259,87.23194351,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,85,44.13520951,0,0,0
22031,2021,De Soto Parish,0,27463,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,126,45.87991115,0,0,0
22033,2021,East Baton Rouge Parish,707,440059,16.06602751,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,599,13.61181114,2,0,0
22035,2021,East Carroll Parish,569,6861,829.3251713,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,11,16.0326483,2,0,0
22037,2021,East Feliciana Parish,10,19135,5.226025608,Less than the national average,Less than the national average,Less than the state average,Less than the state average,34,17.76848707,2,0,0
22039,2021,Evangeline Parish,3,33395,0.898338075,Less than the national average,Less than the national average,Less than the state average,Less than the state average,198,59.29031292,2,0,0
22041,2021,Franklin Parish,102,20015,50.96177867,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,143,71.44641519,0,0,0
22043,2021,Grant Parish,41,22389,18.31256421,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,130,58.06422797,2,0,0
22045,2021,Iberia Parish,194,69830,27.78175569,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,205,29.35700988,0,0,0
22047,2021,Iberville Parish,99,32511,30.45123189,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,91,27.99052628,2,0,0
22049,2021,Jackson Parish,58,15744,36.83943089,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,42,26.67682927,2,0,0
22053,2021,Jefferson Davis Parish,87,31368,27.73527161,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,58,18.49018108,0,0,0
22051,2021,Jefferson Parish,994,432493,22.98303094,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,938,21.68821229,2,0,0
22055,2021,Lafayette Parish,489,244390,20.009002,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,360,14.73055362,0,0,0
22057,2021,Lafourche Parish,331,97614,33.90907042,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,185,18.95219948,0,0,0
22059,2021,LaSalle Parish,313,14892,210.1799624,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,64,42.97609455,2,0,0
22061,2021,Lincoln Parish,205,46742,43.85777245,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,144,30.80741089,0,0,0
22063,2021,Livingston Parish,402,140789,28.5533671,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,486,34.51974231,0,0,0
22065,2021,Madison Parish,443,10951,404.5292667,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,25,22.82896539,0,0,0
22067,2021,Morehouse Parish,0,24874,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,72,28.94588727,0,0,0
22069,2021,Natchitoches Parish,103,38158,26.99302898,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,83,21.75166413,0,0,0
22071,2021,Orleans Parish,715,390144,18.3265666,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,461,11.81614993,2,0,0
22073,2021,Ouachita Parish,565,153279,36.86088766,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,512,33.40314068,2,0,0
22075,2021,Plaquemines Parish,0,23197,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,67,28.88304522,0,0,0
22077,2021,Pointe Coupee Parish,0,21730,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,47,21.62908422,0,0,0
22079,2021,Rapides Parish,299,129648,23.06244601,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,357,27.53609774,0,0,0
22081,2021,Red River Parish,28,8442,33.16749585,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,20,23.69106847,0,0,0
22083,2021,Richland Parish,4,20122,1.987873969,Less than the national average,Less than the national average,Less than the state average,Less than the state average,112,55.66047113,0,0,0
22085,2021,Sabine Parish,0,23884,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,50,20.93451683,0,0,0
22087,2021,St. Bernard Parish,155,47244,32.80839895,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,96,20.32004064,0,0,0
22089,2021,St. Charles Parish,83,53100,15.63088512,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,67,12.61770245,0,0,0
22091,2021,St. Helena Parish,32,10132,31.58310304,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,12,11.84366364,0,0,0
22093,2021,St. James Parish,66,21096,31.28555176,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,22,10.42851725,0,0,0
22095,2021,St. John the Baptist Parish,12,42837,2.801316619,Less than the national average,Less than the national average,Less than the state average,Less than the state average,39,9.104279011,0,0,0
22097,2021,St. Landry Parish,0,82124,0,Less than the national average,Less than the national average,Less than the state average,Less than the state average,199,24.2316497,0,0,0
22099,2021,St. Martin Parish,149,53431,27.88643297,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,111,20.77445678,0,0,0
22101,2021,St. Mary Parish,3,49348,0.607927373,Less than the national average,Less than the national average,Less than the state average,Less than the state average,160,32.42279322,0,0,0
22103,2021,St. Tammany Parish,549,260419,21.08141111,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,669,25.68936982,2,0,0
22105,2021,Tangipahoa Parish,309,134758,22.92999302,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,355,26.34351949,0,0,0
22107,2021,Tensas Parish,79,4334,182.2796493,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,10,23.07337333,0,0,0
22109,2021,Terrebonne Parish,346,110461,31.32327247,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,283,25.61990205,0,0,0
22111,2021,Union Parish,119,22108,53.82666908,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,66,29.85344672,0,0,0
22113,2021,Vermilion Parish,109,59511,18.31594159,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,170,28.56614743,0,0,0
22115,2021,Vernon Parish,123,47429,25.9335006,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,148,31.20453731,0,0,0
22117,2021,Washington Parish,183,46194,39.61553448,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,226,48.9241027,2,0,0
22119,2021,Webster Parish,129,38340,33.64632238,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,208,54.25143453,0,0,0
22121,2021,West Baton Rouge Parish,129,26465,48.74362365,Greater than twice the national average,Less than the national average,"Above the state average, but not twice the state average",Less than the state average,121,45.72076327,0,0,0
22123,2021,West Carroll Parish,15,10830,13.85041551,"Above the national average, but not twice the national average",Less than the national average,Less than the state average,Less than the state average,50,46.16805171,0,0,0
22125,2021,West Feliciana Parish,14,15568,8.992805755,Less than the national average,Less than the national average,Less than the state average,Less than the state average,22,14.1315519,2,0,0
22127,2021,Winn Parish,83,13904,59.69505178,Greater than twice the national average,Less than the national average,Greater than twice the state average,Less than the state average,50,35.96087457,2,0,0